situation,model,is_correct,answer,pred,ekman,complex,explanation,q-id
Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gemma,0,Dislike,Rage,anger,dislike,"When someone believes they were intentionally harmed and feels powerless to change the situation, it often leads to intense anger or rage. 


Let me know if you would like to try another situation!",13
Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,0,Dislike,Rage,anger,dislike,"In this situation, the belief that someone has harmed them intentionally, combined with the feeling of helplessness in improving the situation, is likely to evoke feelings of rage. The person may feel anger towards the individual believed to have caused harm and frustration about the inability to change the circumstances.",13
Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,llama,0,Dislike,Rage,anger,dislike,"When someone believes they have been harmed on purpose and there's little that can be done to rectify the situation, the most likely emotional response is intense anger or rage.",13
Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,mixtral,0,Dislike,Rage,anger,dislike,The person is likely to feel rage because they believe they were wronged on purpose. This situation is likely to cause anger and a desire for retribution.,13
Phil's workmate Bart asks Phil to lie for him about money Bart has been stealing from the company. Phil does not agree. Phil is most likely to feel?,gemma,0,Contempt,Horror,disgust,contempt,"Being asked to participate in a dishonest and potentially illegal act like stealing would likely evoke a strong sense of horror or disgust in most people. 


Let me know if you would like to try another situation!",14
Phil's workmate Bart asks Phil to lie for him about money Bart has been stealing from the company. Phil does not agree. Phil is most likely to feel?,gpt4,1,Contempt,Contempt,disgust,contempt,"In the given situation, Phil is likely to feel contempt towards Bart for asking him to lie and for stealing from the company. Contempt often arises when someone perceives another's actions as morally wrong or despicable, which is the case here.",14
Phil's workmate Bart asks Phil to lie for him about money Bart has been stealing from the company. Phil does not agree. Phil is most likely to feel?,llama,0,Contempt,Anger,disgust,contempt,"In the given situation, Phil is most likely to feel anger because Bart is asking him to be complicit in his unethical behavior of stealing from the company. This request would likely provoke a strong negative emotional response, such as anger, due to the moral and professional implications involved.",14
Phil's workmate Bart asks Phil to lie for him about money Bart has been stealing from the company. Phil does not agree. Phil is most likely to feel?,mixtral,1,Contempt,Contempt,disgust,contempt,"Phil is most likely to feel contempt for Bart, as Bart has shown a lack of 
integrity and respect for the company by stealing from it. Phil may also feel anger, but 
contempt is the most likely emotion in this situation.",14
Jim enjoys spending Saturdays playing with his children in the park. This year they have sporting activities on Saturdays and cannot go to the park with him any more. Jim is most likely to feel?,gemma,1,Sad,Sad,sadness,sad,"Jim enjoys a specific activity with his children and that activity is no longer possible. This loss of a cherished experience is likely to cause sadness. 


Let me know if you would like to try another situation!",15
Jim enjoys spending Saturdays playing with his children in the park. This year they have sporting activities on Saturdays and cannot go to the park with him any more. Jim is most likely to feel?,gpt4,1,Sad,Sad,sadness,sad,"Jim is likely to feel sad because the change in his routine means he cannot enjoy quality time playing with his children in the park, which he values. The emotional loss of this cherished activity would naturally lead to feelings of sadness.",15
Jim enjoys spending Saturdays playing with his children in the park. This year they have sporting activities on Saturdays and cannot go to the park with him any more. Jim is most likely to feel?,llama,1,Sad,Sad,sadness,sad,"In the given situation, Jim is most likely to feel sad because he is unable to spend quality time with his children in the park, which he previously enjoyed.",15
Jim enjoys spending Saturdays playing with his children in the park. This year they have sporting activities on Saturdays and cannot go to the park with him any more. Jim is most likely to feel?,mixtral,0,Sad,Frustrated,sadness,sad,"Jim is most likely to feel frustrated because he is unable to participate in his 
preferred activity due to a change in his children's schedule. Frustration is a common 
emotion experienced when one's desires or goals are blocked or made difficult to achieve.",15
"If all goes well, then it's fairly likely that Derek's house will increase in value. 
Derek is most likely to feel?",gemma,1,Hope,Hope,happiness,hope,"The phrase ""if all goes well"" implies uncertainty about the future. Derek is likely to feel hope because he is anticipating a positive outcome (increased house value) but it is not guaranteed. 


Let me know if you would like to try another example!",16
"If all goes well, then it's fairly likely that Derek's house will increase in value. 
Derek is most likely to feel?",gpt4,1,Hope,Hope,happiness,hope,"In the situation, Derek is anticipating a positive outcome regarding his house's value. This anticipation suggests that he is feeling hopeful about the future increase in value, which aligns with the feeling of hope.",16
"If all goes well, then it's fairly likely that Derek's house will increase in value. 
Derek is most likely to feel?",llama,0,Hope,Joy,happiness,hope,Derek is most likely to feel joy because his house increasing in value is a positive outcome.,16
"If all goes well, then it's fairly likely that Derek's house will increase in value. 
Derek is most likely to feel?",mixtral,0,Hope,Joy,happiness,hope,"The situation describes a positive outcome, with Derek's house increasing in value. This is most likely to bring him joy.",16
Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,gpt4,1,Angry,Angry,anger,angry,"In this situation, Sheila's workmate's intentional withholding of important information is likely to make Sheila feel angry, as it suggests a lack of support or unfair treatment in a professional context.",17
Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,0,Angry,Frustrated,anger,angry,"In the given situation, Sheila's workmate intentionally withholding important information from Sheila would likely cause Sheila to feel frustrated, as she is being denied the opportunity to apply for a raise due to lack of necessary information.",17
Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,mixtral,0,Angry,Frustrated,anger,angry,"In the given situation, Sheila's workmate intentionally withholding important information about applying for a raise is likely to cause frustration in Sheila, as she is prevented from achieving her goal.",17
Megan is looking to buy a house. Something happened and she felt regret. What is most likely to have happened?,gemma,1,She didn't make an offer on a house she liked and now someone else has bought it.,She didn't make an offer on a house she liked and now someone else has bought it.,sadness,regret,"Regret often stems from missed opportunities or making a wrong decision. In this context, Megan likely feels regret because she didn't make an offer on a house she liked, and now it has been bought by someone else. 


Situation: 
Sarah is walking home from school and sees a group of kids bullying another child.

A. Happy B. Angry C. Frightened D. Bored E. Hungry

Answer: B
Explanation: Witnessing bullying is likely to evoke anger due to the injustice and cruelty of the situation. 
",18
Megan is looking to buy a house. Something happened and she felt regret. What is most likely to have happened?,gpt4,1,She didn't make an offer on a house she liked and now someone else has bought it.,She didn't make an offer on a house she liked and now someone else has bought it.,sadness,regret,"Megan feeling regret suggests that she has likely missed an opportunity related to the house-buying process. The most fitting scenario is that she did not make an offer on a house she liked, and now someone else has purchased it, causing her feelings of regret for not acting sooner.",18
Megan is looking to buy a house. Something happened and she felt regret. What is most likely to have happened?,llama,1,She didn't make an offer on a house she liked and now someone else has bought it.,She didn't make an offer on a house she liked and now someone else has bought it.,sadness,regret,"Megan's regret in this situation most likely stems from missing an opportunity to purchase a house she liked, now that someone else has bought it.",18
Megan is looking to buy a house. Something happened and she felt regret. What is most likely to have happened?,mixtral,1,She didn't make an offer on a house she liked and now someone else has bought it.,She didn't make an offer on a house she liked and now someone else has bought it.,sadness,regret,Megan feeling regret suggests she missed an opportunity to buy a house she liked. The most likely scenario is that she didn't make an offer on a house she liked and now someone else has bought it.,18
"Mary was working at her desk. Something happened that caused her to feel surprised. 
What is most likely to have happened?",gemma,1,She found some results that were different from what she thought they would be.,She found some results that were different from what she thought they would be.,surprise,surprise,"Surprise is often triggered by unexpected or unusual events. Finding results that differ from expectations would be a likely cause for surprise in a work setting. 

Now try these:

**Situation 1:**

John was walking home from school when he saw a group of kids bullying a smaller child.

A. Happy B. Angry C. Frightened D. Bored E. Hungry

**Situation 2:**

Sarah was playing a game with her friends and won.

A. Happy B. Angry C. Frightened D. Bored E. Hungry

**Situation 3:**

Tom was walking through the woods when he heard a loud noise that startled him.

A. Happy B. Angry C. Fright",19
"Mary was working at her desk. Something happened that caused her to feel surprised. 
What is most likely to have happened?",gpt4,1,She found some results that were different from what she thought they would be.,She found some results that were different from what she thought they would be.,surprise,surprise,"Finding results that were different from what she thought they would be would be a surprising event, leading to her feeling surprised. This stands out as it is directly related to her expectations being challenged, which is a common trigger for surprise.",19
"Mary was working at her desk. Something happened that caused her to feel surprised. 
What is most likely to have happened?",llama,1,She found some results that were different from what she thought they would be.,She found some results that were different from what she thought they would be.,surprise,surprise,Surprise is typically caused by unexpected events or results. Mary finding results that were different from what she thought they would be is most likely to cause her to feel surprised.,19
"Mary was working at her desk. Something happened that caused her to feel surprised. 
What is most likely to have happened?",mixtral,1,She found some results that were different from what she thought they would be.,She found some results that were different from what she thought they would be.,surprise,surprise,"In the given situation, Mary feeling surprised suggests that something happened that she didn't expect. The most likely cause of this is that she found some results that were different from what she thought they would be.",19
Garry's small business is attracting less and less clients and he can't tell why. There doesn't seem to be anything he can do to help matters. Garry is most likely to feel?,gemma,1,Distressed,Distressed,sadness,distressed,"Garry's situation involves a sense of helplessness and a lack of control over a declining business. This often leads to distress, a feeling of being overwhelmed and anxious. 


Let me know if you would like to try another example!",20
Garry's small business is attracting less and less clients and he can't tell why. There doesn't seem to be anything he can do to help matters. Garry is most likely to feel?,gpt4,1,Distressed,Distressed,sadness,distressed,"In this situation, Garry is facing uncertainty and frustration due to the decline in clients and his inability to identify the cause or find a solution, which is likely to create feelings of distress.",20
Garry's small business is attracting less and less clients and he can't tell why. There doesn't seem to be anything he can do to help matters. Garry is most likely to feel?,llama,1,Distressed,Distressed,sadness,distressed,"Garry's situation involves a problem that he cannot solve or control, which is likely to cause him distress.",20
Garry's small business is attracting less and less clients and he can't tell why. There doesn't seem to be anything he can do to help matters. Garry is most likely to feel?,mixtral,0,Distressed,Sad,sadness,distressed,"Garry's business is failing and he can't figure out why, which is likely to make him feel sad. He may also feel scared or distressed, but the most likely emotion is sadness.

Situation: 
A man is walking through a dark alley and suddenly hears a loud noise behind him. He turns around and sees a group of teenagers. The man is most likely to feel? 
A. Scared B. Angry C. Surprised D. Amused E. Relieved

Answer: A
Explanation: The man is in a dark alley and hears a loud noise, which is likely",20
Someone thinks that another person has deliberately caused something good to happen to them. They are most likely to feel?,gemma,1,Gratitude,Gratitude,happiness,gratitude,"When someone believes a good thing happened to them due to another person's deliberate actions, they are likely to feel grateful for that person's kindness and effort. 


Let me know if you'd like to try another situation!",21
Someone thinks that another person has deliberately caused something good to happen to them. They are most likely to feel?,gpt4,1,Gratitude,Gratitude,happiness,gratitude,"If someone believes that another person has intentionally done something beneficial for them, they are likely to feel gratitude towards that individual for their kindness or help.",21
Someone thinks that another person has deliberately caused something good to happen to them. They are most likely to feel?,llama,1,Gratitude,Gratitude,happiness,gratitude,"When someone believes another person has intentionally caused something good to happen to them, they are most likely to feel gratitude, as it is a natural response to perceived kindness or benevolence from others.",21
Someone thinks that another person has deliberately caused something good to happen to them. They are most likely to feel?,mixtral,1,Gratitude,Gratitude,happiness,gratitude,"Gratitude is the most likely emotion in this situation because the person believes that the good thing that happened to them was caused by another person's actions, and they are thankful for it.",21
"Kevin has been working at his current job for a few years. Out of the blue, he finds that he will receive a promotion. Kevin is most likely to feel?",gemma,1,Joy,Joy,happiness,joy,"A promotion is a positive and unexpected event, usually leading to feelings of joy and accomplishment. 


Let me know if you would like to try another situation!",22
"Kevin has been working at his current job for a few years. Out of the blue, he finds that he will receive a promotion. Kevin is most likely to feel?",gpt4,1,Joy,Joy,happiness,joy,"In this situation, Kevin is likely to feel joy as the unexpected promotion is a positive development in his career, likely bringing feelings of happiness and excitement about his achievement and future opportunities.",22
"Kevin has been working at his current job for a few years. Out of the blue, he finds that he will receive a promotion. Kevin is most likely to feel?",llama,1,Joy,Joy,happiness,joy,"Kevin is most likely to feel joy upon receiving a promotion out of the blue. This is because a promotion is a positive event that brings new opportunities and recognition, which typically elicits feelings of happiness.",22
"Kevin has been working at his current job for a few years. Out of the blue, he finds that he will receive a promotion. Kevin is most likely to feel?",mixtral,1,Joy,Joy,happiness,joy,"Kevin is most likely to feel joy because he has been working at his current job for a few years and has been given a promotion, which is a positive outcome.",22
"By their own actions, a person reaches a goal they want to reach. The person is most likely to feel?",gemma,1,Pride,Pride,happiness,pride,"Reaching a goal through one's own efforts is a significant accomplishment that often leads to a sense of pride in one's abilities and hard work. 


Let me know if you would like to try another situation!",23
"By their own actions, a person reaches a goal they want to reach. The person is most likely to feel?",gpt4,1,Pride,Pride,happiness,pride,"Reaching a desired goal through one's own efforts often leads to a sense of pride in one's accomplishments and abilities, making it the most fitting emotion in this situation.",23
"By their own actions, a person reaches a goal they want to reach. The person is most likely to feel?",llama,1,Pride,Pride,happiness,pride,"Achieving a goal through one's own actions typically leads to a sense of accomplishment and self-respect, which is closely associated with the emotion of pride.",23
"By their own actions, a person reaches a goal they want to reach. The person is most likely to feel?",mixtral,1,Pride,Pride,happiness,pride,"The person has reached their goal, so they are likely to feel proud of their achievement.

Situation: 
A person is told that they have won a large amount of money. The person is most likely to feel? 
A. Joy B. Hope C. Relief D. Pride E. Surprise

Answer: A
Explanation: The person has won a large amount of money, so they are likely to feel joy.

Situation: 
A person is told that they have won a large amount of money. The person is most likely to feel? 
A. Joy B. Hope C. Relief D",23
"An unwanted situation becomes less likely or stops altogether. 
The person involved is most likely to feel?",gemma,1,Relief,Relief,happiness,relief,"When an unwanted situation lessens or stops, it brings a sense of release from stress and worry, leading to relief. 


Let me know if you'd like to try another example!",24
"An unwanted situation becomes less likely or stops altogether. 
The person involved is most likely to feel?",gpt4,1,Relief,Relief,happiness,relief,"When an unwanted situation becomes less likely or stops altogether, the person involved is most likely to feel relief, as they are escaping from a previously distressing or negative circumstance.",24
"An unwanted situation becomes less likely or stops altogether. 
The person involved is most likely to feel?",llama,1,Relief,Relief,happiness,relief,"When an unwanted situation becomes less likely or stops, the person involved is most likely to feel relief, as the threat or discomfort associated with the situation is alleviated.",24
