,situation,model,is_correct,answer,pred,ekman,complex,explanation,q-id
52,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,mixtral,0,Dislike,Rage,anger,dislike,The person is likely to feel rage because they believe they were wronged on purpose. This situation is likely to cause anger and a desire for retribution.,13
146,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gpt4,0,Contempt,Anger,anger,contempt,"In this situation, the harmed person feels that another has caused them harm due to their bad character, which is likely to evoke feelings of anger. Since they believe they can handle the situation, their anger may be directed towards addressing the wrongdoing rather than being overwhelmed by it.",38
129,The nature of Sara's job changes due to unpredictable factors and she no longer gets to do the portions of her work that she most enjoyed. Sara is most likely to feel?,mixtral,0,Sad,Frustrated,sadness,sad,"Sara is most likely to feel frustrated because she is unable to perform the parts of her job that she enjoyed. This is a common cause of frustration, especially when the change is due to unpredictable factors beyond one's control.",33
67,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,mixtral,0,Angry,Frustrated,anger,angry,"In the given situation, Sheila's workmate intentionally withholding important information about applying for a raise is likely to cause frustration in Sheila, as she is prevented from achieving her goal.",17
2,"A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",mixtral,0,Sad,Frustrated,sadness,sad,"The person is most likely to feel frustrated because the experience was pleasant and 
unexpectedly ended, and there is nothing that can be done about it.",0
26,"Something unpleasant is happening. Neither the person involved, nor anyone else can make it stop. The person involved is most likely to feel?",mixtral,0,Distressed,Scared,fear,distressed,"The situation described is most likely to cause fear. The person is unable to stop the unpleasant event, which can be frightening. The other options are not suggested by the situation.",6
1,"A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",llama,0,Sad,Frustrated,sadness,sad,"When a pleasant experience ceases unexpectedly and there is not much that can be done about it, the person involved is most likely to feel frustrated. This is because the sudden stoppage of something enjoyable can evoke feelings of discontent and irritation due to the lack of control over the situation.",0
66,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,0,Angry,Frustrated,anger,angry,"In the given situation, Sheila's workmate intentionally withholding important information from Sheila would likely cause Sheila to feel frustrated, as she is being denied the opportunity to apply for a raise due to lack of necessary information.",17
145,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,0,Contempt,Anger,anger,contempt,"The belief that someone has caused harm due to their bad character, coupled with the feeling that the situation can be handled, is most likely to trigger anger. Anger is a natural response to perceived injustice or harm. 
",38
114,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,0,Scared,Distressed,fear,scared,"The person in this situation is likely to feel distressed because they are 
facing an imminent event with potentially negative outcomes and they have no power to change it.",29
