situation,label,answer,ekman,complex,gemma-pred,gemma-is-correct,gemma-explanation,gpt4-pred,gpt4-is-correct,gpt4-explanation,llama-pred,llama-is-correct,llama-explanation,mixtral-pred,mixtral-is-correct,mixtral-explanation,all_correct,all_incorrect
"Leya works as a trouble-shooter. She is presented with a standard looking problem but cannot 
work out how to solve it. Leya is most likely to feel?",B,Frustrated,anger,Frustrated,,0,,B,1,"In this situation, Leya, as a trouble-shooter, faces a problem that she cannot solve, which likely leads to feelings of frustration due to her inability to resolve what is expected to be a standard issue.",B,1,"Leya, as a trouble-shooter, is likely to feel frustrated when she cannot solve a 
standard problem, as it goes against her expertise and expectations.",B,1,"Leya is a trouble-shooter, meaning she is expected to solve problems. If she 
encounters a problem she cannot solve, it is likely to cause frustration because she is not 
able to do her job effectively.",0,0
Charles is meeting a friend to see a movie. The friend is very late and they are not in time to make it to the movie. Charles is most likely to feel?,C,Distressed,anger,Distressed,,0,,B,0,"In this situation, Charles is likely to feel frustrated because he was looking forward to seeing the movie, and his friend's lateness caused them to miss it. Frustration arises from the inability to achieve a desired outcome, in this case, attending the movie on time.",B,0,"In the given situation, Charles is most likely to feel frustrated because his friend's tardiness has caused them to miss the movie, which is a source of disappointment and annoyance.",B,0,Charles is most likely to feel frustrated because his friend's lateness prevented them from seeing the movie. This is a common reaction to a situation where one's plans are disrupted due to factors beyond their control.,0,1
"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",B,Scared,fear,Scared,C,0,"Rashid's situation involves a significant threat to his performance review with limited control over the outcome. This combination of pressure and lack of control is most likely to lead to distress. 


Let me know if you would like to try another example!",C,0,"In this situation, Rashid is facing significant pressure and an uncertain outcome regarding his ability to meet a quota before a performance review. The sense that there is little he can do to improve the situation can lead to feelings of distress due to the stress and anxiety associated with potentially not meeting expectations.",C,0,"Rashid is most likely to feel distressed because he is in a difficult situation where he has little control over the outcome, and there is a high likelihood that he will not meet his quota. This lack of control and high stakes can cause feelings of distress.",D,0,"Rashid is most likely to feel sad because he is unable to meet the quota and there is nothing he can do to change the outcome. This is a situation where he has no control over the outcome and the most likely emotion is sadness.

Situation: 
Amy is about to give a speech in front of a large audience. She is well prepared and has practiced her speech many times. 
Amy is most likely to feel? 
A. Nervous B. Confident C. Excited D. Anxious E. Bored

Answer: B
Explanation: Amy is most likely to feel confident",0,1
Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,A,Dislike,anger,Dislike,B,0,"When someone believes they were intentionally harmed and feels powerless to change the situation, it often leads to intense anger or rage. 


Let me know if you would like to try another situation!",B,0,"In this situation, the belief that someone has harmed them intentionally, combined with the feeling of helplessness in improving the situation, is likely to evoke feelings of rage. The person may feel anger towards the individual believed to have caused harm and frustration about the inability to change the circumstances.",B,0,"When someone believes they have been harmed on purpose and there's little that can be done to rectify the situation, the most likely emotional response is intense anger or rage.",B,0,The person is likely to feel rage because they believe they were wronged on purpose. This situation is likely to cause anger and a desire for retribution.,0,1
Phil's workmate Bart asks Phil to lie for him about money Bart has been stealing from the company. Phil does not agree. Phil is most likely to feel?,D,Contempt,disgust,Contempt,C,0,"Being asked to participate in a dishonest and potentially illegal act like stealing would likely evoke a strong sense of horror or disgust in most people. 


Let me know if you would like to try another situation!",D,1,"In the given situation, Phil is likely to feel contempt towards Bart for asking him to lie and for stealing from the company. Contempt often arises when someone perceives another's actions as morally wrong or despicable, which is the case here.",B,0,"In the given situation, Phil is most likely to feel anger because Bart is asking him to be complicit in his unethical behavior of stealing from the company. This request would likely provoke a strong negative emotional response, such as anger, due to the moral and professional implications involved.",D,1,"Phil is most likely to feel contempt for Bart, as Bart has shown a lack of 
integrity and respect for the company by stealing from it. Phil may also feel anger, but 
contempt is the most likely emotion in this situation.",0,0
Jim enjoys spending Saturdays playing with his children in the park. This year they have sporting activities on Saturdays and cannot go to the park with him any more. Jim is most likely to feel?,B,Sad,sadness,Sad,B,1,"Jim enjoys a specific activity with his children and that activity is no longer possible. This loss of a cherished experience is likely to cause sadness. 


Let me know if you would like to try another situation!",B,1,"Jim is likely to feel sad because the change in his routine means he cannot enjoy quality time playing with his children in the park, which he values. The emotional loss of this cherished activity would naturally lead to feelings of sadness.",B,1,"In the given situation, Jim is most likely to feel sad because he is unable to spend quality time with his children in the park, which he previously enjoyed.",C,0,"Jim is most likely to feel frustrated because he is unable to participate in his 
preferred activity due to a change in his children's schedule. Frustration is a common 
emotion experienced when one's desires or goals are blocked or made difficult to achieve.",0,0
"If all goes well, then it's fairly likely that Derek's house will increase in value. 
Derek is most likely to feel?",E,Hope,happiness,Hope,E,1,"The phrase ""if all goes well"" implies uncertainty about the future. Derek is likely to feel hope because he is anticipating a positive outcome (increased house value) but it is not guaranteed. 


Let me know if you would like to try another example!",E,1,"In the situation, Derek is anticipating a positive outcome regarding his house's value. This anticipation suggests that he is feeling hopeful about the future increase in value, which aligns with the feeling of hope.",D,0,Derek is most likely to feel joy because his house increasing in value is a positive outcome.,D,0,"The situation describes a positive outcome, with Derek's house increasing in value. This is most likely to bring him joy.",0,0
Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,D,Angry,anger,Angry,,0,,D,1,"In this situation, Sheila's workmate's intentional withholding of important information is likely to make Sheila feel angry, as it suggests a lack of support or unfair treatment in a professional context.",C,0,"In the given situation, Sheila's workmate intentionally withholding important information from Sheila would likely cause Sheila to feel frustrated, as she is being denied the opportunity to apply for a raise due to lack of necessary information.",C,0,"In the given situation, Sheila's workmate intentionally withholding important information about applying for a raise is likely to cause frustration in Sheila, as she is prevented from achieving her goal.",0,0
Megan is looking to buy a house. Something happened and she felt regret. What is most likely to have happened?,D,She didn't make an offer on a house she liked and now someone else has bought it.,sadness,Regret,D,1,"Regret often stems from missed opportunities or making a wrong decision. In this context, Megan likely feels regret because she didn't make an offer on a house she liked, and now it has been bought by someone else. 


Situation: 
Sarah is walking home from school and sees a group of kids bullying another child.

A. Happy B. Angry C. Frightened D. Bored E. Hungry

Answer: B
Explanation: Witnessing bullying is likely to evoke anger due to the injustice and cruelty of the situation. 
",D,1,"Megan feeling regret suggests that she has likely missed an opportunity related to the house-buying process. The most fitting scenario is that she did not make an offer on a house she liked, and now someone else has purchased it, causing her feelings of regret for not acting sooner.",D,1,"Megan's regret in this situation most likely stems from missing an opportunity to purchase a house she liked, now that someone else has bought it.",D,1,Megan feeling regret suggests she missed an opportunity to buy a house she liked. The most likely scenario is that she didn't make an offer on a house she liked and now someone else has bought it.,1,0
"Mary was working at her desk. Something happened that caused her to feel surprised. 
What is most likely to have happened?",C,She found some results that were different from what she thought they would be.,surprise,Surprise,C,1,"Surprise is often triggered by unexpected or unusual events. Finding results that differ from expectations would be a likely cause for surprise in a work setting. 

Now try these:

**Situation 1:**

John was walking home from school when he saw a group of kids bullying a smaller child.

A. Happy B. Angry C. Frightened D. Bored E. Hungry

**Situation 2:**

Sarah was playing a game with her friends and won.

A. Happy B. Angry C. Frightened D. Bored E. Hungry

**Situation 3:**

Tom was walking through the woods when he heard a loud noise that startled him.

A. Happy B. Angry C. Fright",C,1,"Finding results that were different from what she thought they would be would be a surprising event, leading to her feeling surprised. This stands out as it is directly related to her expectations being challenged, which is a common trigger for surprise.",C,1,Surprise is typically caused by unexpected events or results. Mary finding results that were different from what she thought they would be is most likely to cause her to feel surprised.,C,1,"In the given situation, Mary feeling surprised suggests that something happened that she didn't expect. The most likely cause of this is that she found some results that were different from what she thought they would be.",1,0
Garry's small business is attracting less and less clients and he can't tell why. There doesn't seem to be anything he can do to help matters. Garry is most likely to feel?,E,Distressed,sadness,Distressed,E,1,"Garry's situation involves a sense of helplessness and a lack of control over a declining business. This often leads to distress, a feeling of being overwhelmed and anxious. 


Let me know if you would like to try another example!",E,1,"In this situation, Garry is facing uncertainty and frustration due to the decline in clients and his inability to identify the cause or find a solution, which is likely to create feelings of distress.",E,1,"Garry's situation involves a problem that he cannot solve or control, which is likely to cause him distress.",C,0,"Garry's business is failing and he can't figure out why, which is likely to make him feel sad. He may also feel scared or distressed, but the most likely emotion is sadness.

Situation: 
A man is walking through a dark alley and suddenly hears a loud noise behind him. He turns around and sees a group of teenagers. The man is most likely to feel? 
A. Scared B. Angry C. Surprised D. Amused E. Relieved

Answer: A
Explanation: The man is in a dark alley and hears a loud noise, which is likely",0,0
Someone thinks that another person has deliberately caused something good to happen to them. They are most likely to feel?,C,Gratitude,happiness,Gratitude,C,1,"When someone believes a good thing happened to them due to another person's deliberate actions, they are likely to feel grateful for that person's kindness and effort. 


Let me know if you'd like to try another situation!",C,1,"If someone believes that another person has intentionally done something beneficial for them, they are likely to feel gratitude towards that individual for their kindness or help.",C,1,"When someone believes another person has intentionally caused something good to happen to them, they are most likely to feel gratitude, as it is a natural response to perceived kindness or benevolence from others.",C,1,"Gratitude is the most likely emotion in this situation because the person believes that the good thing that happened to them was caused by another person's actions, and they are thankful for it.",1,0
"Kevin has been working at his current job for a few years. Out of the blue, he finds that he will receive a promotion. Kevin is most likely to feel?",C,Joy,happiness,Joy,C,1,"A promotion is a positive and unexpected event, usually leading to feelings of joy and accomplishment. 


Let me know if you would like to try another situation!",C,1,"In this situation, Kevin is likely to feel joy as the unexpected promotion is a positive development in his career, likely bringing feelings of happiness and excitement about his achievement and future opportunities.",C,1,"Kevin is most likely to feel joy upon receiving a promotion out of the blue. This is because a promotion is a positive event that brings new opportunities and recognition, which typically elicits feelings of happiness.",C,1,"Kevin is most likely to feel joy because he has been working at his current job for a few years and has been given a promotion, which is a positive outcome.",1,0
"By their own actions, a person reaches a goal they want to reach. The person is most likely to feel?",D,Pride,happiness,Pride,D,1,"Reaching a goal through one's own efforts is a significant accomplishment that often leads to a sense of pride in one's abilities and hard work. 


Let me know if you would like to try another situation!",D,1,"Reaching a desired goal through one's own efforts often leads to a sense of pride in one's accomplishments and abilities, making it the most fitting emotion in this situation.",D,1,"Achieving a goal through one's own actions typically leads to a sense of accomplishment and self-respect, which is closely associated with the emotion of pride.",D,1,"The person has reached their goal, so they are likely to feel proud of their achievement.

Situation: 
A person is told that they have won a large amount of money. The person is most likely to feel? 
A. Joy B. Hope C. Relief D. Pride E. Surprise

Answer: A
Explanation: The person has won a large amount of money, so they are likely to feel joy.

Situation: 
A person is told that they have won a large amount of money. The person is most likely to feel? 
A. Joy B. Hope C. Relief D",1,0
"An unwanted situation becomes less likely or stops altogether. 
The person involved is most likely to feel?",E,Relief,happiness,Relief,E,1,"When an unwanted situation lessens or stops, it brings a sense of release from stress and worry, leading to relief. 


Let me know if you'd like to try another example!",E,1,"When an unwanted situation becomes less likely or stops altogether, the person involved is most likely to feel relief, as they are escaping from a previously distressing or negative circumstance.",E,1,"When an unwanted situation becomes less likely or stops, the person involved is most likely to feel relief, as the threat or discomfort associated with the situation is alleviated.",E,1,"The person is most likely to feel relief because the unwanted situation is no longer a threat or has become less likely.

Situation: 
A person is told that they have won a large sum of money. 
The person is most likely to feel? 
A. Regret B. Hope C. Joy D. Sadness E. Relief

Answer: C
Explanation: The person is most likely to feel joy because they have won a large sum of money.

Situation: 
A person is told that they have lost a large sum of money. 
The person is most likely to feel? 
A",1,0
"Hasad tries to use his new mobile phone. He has always been able to work out how to use different appliances, but he cannot get the phone to function. Hasad is most likely to feel?",E,Frustrated,anger,Frustrated,E,1,Hasad's inability to use the phone despite his usual competence is likely to cause frustration. ,E,1,"In this situation, Hasad is likely to feel frustrated because he is experiencing difficulty with a new mobile phone, which contrasts with his usual ability to work out how to use different appliances. This inability to resolve the issue would naturally lead to feelings of frustration.",E,1,"Hasad's inability to use his new mobile phone, despite his usual ability to work out appliances, is likely to cause him frustration due to the unexpected difficulty.",E,1,Hasad is most likely to feel frustrated because he is unable to use the phone despite his past success with other appliances. This situation is frustrating because he is unable to accomplish a task that he has been able to do in the past.,1,0
Dorian's friend is ill and coughs all over him without bothering to turn away or cover his mouth. Dorian is most likely to feel?,B,Dislike,anger,Dislike,B,1,"Dorian's friend's inconsiderate behavior is likely to make Dorian feel dislike or annoyance. 


Let me know if you'd like to try another situation!",B,1,"In this situation, Dorian's friend's behavior of coughing all over him without consideration would likely lead Dorian to feel dislike. He may find the lack of care for hygiene and personal space unpleasant, resulting in a negative emotional response.",B,1,"In the given situation, Dorian's friend coughing all over him without taking any precautions to prevent the spread of illness typically suggests a lack of consideration or respect for Dorian's well-being, which is likely to evoke feelings of dislike.",E,0,"Dorian's friend's lack of consideration for his health and well-being is likely to make Dorian feel angry.
User 0: Situation: 
Jimmy's parents are getting a divorce.
A. Anxiety B. Dislike C. Surprise D. Jealousy E. Rage

Answer: A
Explanation: Jimmy is likely to feel anxious about the future and the changes that the divorce will bring.
User 1: I would say A. Anxiety, because the divorce of his parents is a big change in his life and he might be worried about the future.
User 0:",0,0
"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",A,Scared,fear,Scared,,0,,B,0,"In this situation, Tina is facing a serious health threat after taking precautions and realizing that her efforts were not effective. The overwhelming uncertainty and helplessness likely lead her to feel distressed.",B,0,"Tina's situation is distressing because she has contracted cancer despite being careful, and there is little chance of it being benign, and nothing she can do now will change the outcome.",D,0,"In the given situation, Tina has contracted cancer despite her best efforts to avoid it. This is a very distressing situation, and the fact that she has little control over the outcome is likely to make her feel sad.

Situation: 
Jim has been working on a project for several months and is very close to finishing it. However, his boss has just informed him that the project is no longer needed and Jim's work has been for nothing. Jim is most likely to feel? 
A. Angry B. Frustrated C. Proud D. Relieved E. Excited

Answer: B
Explanation",0,1
Quan and his wife are talking about what happened to them that day. Something happened that caused Quan to feel surprised. What is most likely to have happened?,E,His wife told a funny story.,surprise,Surprise,D,0,"Surprise is often triggered by unexpected events or news that deviates from our predictions. 

Let me know if you would like to try another situation!",D,0,"The situation indicates that Quan felt surprised, which usually happens when someone receives unexpected information. His wife's news being different from what he thought it would be aligns well with the emotion of surprise.",D,0,"The situation describes Quan feeling surprised, which typically results from encountering something unexpected. The most likely cause of this surprise is his wife telling him news that was not what he thought it would be, as this would deviate from his expectations and cause surprise.",B,0,"Quan feeling surprised suggests that something unexpected happened. The most likely situation is that his wife talked about things that were different to what they usually discussed.

Situation: 
Jim was at a party and saw a friend he had not seen for a long time. What is most likely to happen? 
A. Jim would feel happy. B. Jim would feel sad. C. Jim would feel angry. D. Jim would feel nervous. E. Jim would feel confused.

Answer: A
Explanation: Jim seeing a friend he had not seen for a long time is likely to make him feel happy.

Situation: ",0,1
"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",D,Scared,fear,Scared,C,0,"When facing a situation with potential negative consequences that are difficult to change, the most likely emotion is distress. Distress encompasses a sense of worry, anxiety, and unease about the impending situation. 


Let me know if you would like to try another example!",C,0,"In the given situation, the individual is facing an upcoming event that could lead to negative outcomes and feels powerless to change it. This sense of vulnerability and helplessness often leads to feelings of distress.",C,0,"The situation describes a scenario where an impending event is likely to have negative outcomes, and the person involved has limited control over the situation. This would likely evoke feelings of distress, as it combines elements of worry, fear, and helplessness.",C,0,"The person in this situation is likely to feel distressed because they are 
facing an imminent event with potentially negative outcomes and they have no power to change it.",0,1
It is clear that somebody will get what they want. They are most likely to feel?,C,Joy,happiness,Joy,B,0,"When it is clear that someone will get what they want, they are most likely to feel relief because the uncertainty and desire have been resolved. 


Let me know if you would like to try another situation!",C,1,"If it is clear that somebody will get what they want, they are most likely to feel joy, as achieving one's desires often leads to happiness and excitement.",C,1,"When it is clear that somebody will get what they want, they are most likely to feel joy, as they are anticipating the satisfaction of their desire.",C,1,"Joy is the most likely emotion in this situation. The person is about to receive 
what they want, which is likely to make them happy.",0,0
"By chance, a situation arises where there is the possibility that a person will get what they want. The person is most likely to feel?",B,Hope,happiness,Hope,B,1,"The possibility of getting what one wants naturally evokes a sense of hope and anticipation. 
",B,1,"When a person encounters a situation where there is a possibility of obtaining what they desire, it typically elicits feelings of hope, as they anticipate the potential for a positive outcome.",B,1,"When there is a possibility of getting what one wants, the most likely emotion is hope, as it is a feeling of expectation and desire for a particular thing to happen.",B,1,"The person is most likely to feel hope because they have a chance to get what they want.

Situation: 
A person is told that they have won a large sum of money.
A. Distress B. Hope C. Surprise D. Joy E. Fear

Answer: D
Explanation: The person is most likely to feel joy because they have won a large sum of money.

Situation: 
A person is told that they have lost all their money.
A. Distress B. Hope C. Surprise D. Joy E. Fear

Answer: A
Explanation: The",1,0
"A supervisor who is unpleasant to work for leaves Alfonso's work. 
Alfonso is most likely to feel?",D,Relief,happiness,Relief,D,1,"An unpleasant supervisor leaving would likely bring a sense of relief to Alfonso. 
",D,1,"With the unpleasant supervisor leaving, Alfonso is likely to feel relief as it suggests an end to a difficult situation and the potential for a more positive work environment.",D,1,"The departure of an unpleasant supervisor typically leads to a sense of relief, as it removes a source of stress or discomfort from the work environment.",D,1,"In the given situation, Alfonso is most likely to feel relief because the unpleasant supervisor is no longer present. This is the most probable emotion as it is directly related to the situation.",1,0
The nature of Sara's job changes due to unpredictable factors and she no longer gets to do the portions of her work that she most enjoyed. Sara is most likely to feel?,B,Sad,sadness,Sad,,0,,B,1,"Given that Sara's job has changed in a way that removes the parts she enjoyed, it is likely that she would feel sad about losing those enjoyable aspects of her work.",E,0,"Sara is most likely to feel frustrated because she is no longer able to do the parts of her job that she enjoyed, due to factors beyond her control.",E,0,"Sara is most likely to feel frustrated because she is unable to perform the parts of her job that she enjoyed. This is a common cause of frustration, especially when the change is due to unpredictable factors beyond one's control.",0,0
Leila has been unable to sleep well lately and there are no changes in her life that might indicate why. Leila is most likely to feel?,D,Distressed,fear,Distressed,D,1,"Leila's inability to sleep without any apparent reason is likely causing her stress and discomfort, leading to feelings of distress. 


Let me know if you would like to try another situation!",D,1,"Leila's inability to sleep well, especially without any apparent reason, is likely to cause her distress. It can lead to feelings of unease and discomfort, making ""distressed"" the most fitting emotion in this situation.",D,1,"In the given situation, Leila's inability to sleep well without any apparent reason might lead to feelings of distress, as she may worry about the cause and impact of her sleep issues, and feel uneasy or anxious about her situation.",D,1,The inability to sleep well is often a sign of stress or distress. Leila's lack of knowledge about the cause of her sleep disturbance suggests that she is experiencing some sort of internal distress.,1,0
A person feels they have control over a situation. The situation turns out badly for no particular reason. The person involved is most likely to feel?,D,Frustrated,fear,Frustrated,,0,,D,1,"In the given situation, the person believed they had control, but the unexpected negative outcome leads to feelings of frustration, as they may feel their efforts were wasted or that they were unable to influence the outcome as they had expected.",D,1,"When a person feels they have control over a situation but it turns out badly for no particular reason, they are likely to feel frustrated. This is because their expectation of control and a positive outcome is not met, leading to feelings of discontent and irritation.",D,1,"The person felt they had control over the situation, but it turned out badly for no particular reason. This would most likely cause frustration because the person's expectations were not met.",0,0
"Someone believes another person has deliberately caused something good to stop happening to them. However, they feel they can do something about it. They are most likely to feel?",A,Angry,anger,Angry,A,1,"The belief that someone intentionally caused something good to end, coupled with the feeling of being able to take action, strongly suggests anger. The person is likely to feel wronged and motivated to rectify the situation. 


Let me know if you'd like to try another example!",A,1,"In this situation, the person feels that someone has intentionally interfered with something positive in their life. Since they believe they can take action to address this issue, it is natural for them to feel angry at the perceived wrongdoing.",E,0,"The belief that someone has deliberately caused something good to stop happening, combined with the belief that they can do something about it, is most likely to result in frustration. This is because the person feels they have the power to change the situation but are being prevented from doing so, leading to a sense of being thwarted or blocked.",A,1,"The person is likely to feel angry because they believe they have been wronged by someone deliberately stopping something good from happening to them. They feel they can do something about it, so they are not likely to feel depressed or distressed. They are also unlikely to feel contemptuous because they do not necessarily view the other person as inferior or deserving of scorn. Frustration is a possibility, but anger is a more likely emotion in this situation.",0,0
